,子曰·禮茶居(花都三东店),餐饮服务,茶艺馆,茶艺馆.1,广东省,广州市,花都区,113.235858,23.408879
0,Hugo Coffee雨果咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.234941,23.407145
1,简.relax,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.236174,23.405004
2,温商号休闲茶吧,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,花都区,113.238509,23.407051
3,欧风麦田(三东店),餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.234285,23.408456
4,芙蓉の茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.239419,23.511224
5,La Camomille聚*创意公社,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.205084,23.492169
6,咩丫茶(唐阁店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.241737,23.256811
7,坤记蛋糕坊,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.241302,23.256536
8,可可糖水,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.245486,23.238479
9,萌客茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.239028,23.334357
10,冰点TiMES,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.239179,23.335142
11,蜜悦甜品店,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.229411,23.324406
12,糖趣甜品,餐饮服务,甜品店,甜品店,广东省,广州市,花都区,113.233534,23.342898
13,山海沐茶(东镜旗舰店),餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.230058,23.34004
14,晴天蛋糕烘焙工作室,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.23544,23.342995
15,TTSQUAT坐阵·士多(花蕾路店),餐饮服务,冷饮店,冷饮店,广东省,广州市,荔湾区,113.23786,23.093606
16,桾城饼家(广州花蕾店),餐饮服务,糕饼店,糕饼店,广东省,广州市,荔湾区,113.237038,23.094151
17,麦奇香(芳村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,荔湾区,113.237217,23.09774
18,彤彤钵仔糕,餐饮服务,甜品店,甜品店,广东省,广州市,荔湾区,113.243373,23.089781
19,达生堂凉茶铺,餐饮服务,冷饮店,冷饮店,广东省,广州市,荔湾区,113.236639,23.093225
20,蓉心园甜品(芳村店),餐饮服务,甜品店,甜品店,广东省,广州市,荔湾区,113.236495,23.097963
21,奥香帝(横滘店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.239118,23.173115
22,云南伊佳糕点,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.2381,23.17085
23,茗壶轩(惠德北路),餐饮服务,茶艺馆,茶艺馆,广东省,广州市,白云区,113.237599,23.173379
24,德康凉茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.239279,23.173057
25,黄氏牛奶甜品专家(同德店),餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.236625,23.174049
26,化州超记甜品,餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.317696,23.013005
27,皇廷佳麦西饼(礼村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.318023,23.012768
28,绿贝烘焙(礼村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.317155,23.012989
29,超润甜品,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.317749,23.012896
30,超润糖水(洪昌工业路),餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.317188,23.012987
31,自然之花烘焙(明珠店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.318308,23.015522
32,棠小一,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.317871,23.015356
33,royaltea皇茶(新月明珠花园店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.317877,23.014817
34,JT Coffee,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,番禺区,113.317668,23.015536
35,喜三德(江贝小区店),餐饮服务,甜品店,甜品店,广东省,广州市,海珠区,113.319329,23.092137
36,星巴克臻选(珠影星光城店),餐饮服务,咖啡厅,星巴克咖啡,广东省,广州市,海珠区,113.320821,23.095224
37,一点甜,餐饮服务,甜品店,甜品店,广东省,广州市,海珠区,113.320206,23.092057
38,金之信蛋糕连锁店(墩和店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.318497,23.088223
39,添香饼家(敦和路店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.317809,23.088853
40,面包新语(海珠丽影广场店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.32041,23.095741
41,咕噜咕噜(海珠丽影广场店),餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.319983,23.095816
42,幸福西饼(艺苑南路店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.320156,23.092127
43,1点点(艺苑南路店),餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.322989,23.094302
44,可可茶觉,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.316399,22.845346
45,茶理斯(南沙榄核店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.337502,22.83577
46,香飘茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.336571,22.831861
47,广隆蛋挞王(榄核店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.338949,22.838413
48,小希的茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.343698,22.838891
49,今天To day cake(榄核分店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.341607,22.838025
50,澳泽烘焙(横江店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.31875,22.934594
51,广西祖传凉茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.318375,22.935014
52,杏枝甜品店,餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.318929,22.936563
53,益和烤奶,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.318634,22.934318
54,小轩茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.320924,22.937532
55,茶香司语,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.319051,22.936563
56,遇见甜品,餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.320104,22.936569
57,品盈轩专业蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.332625,22.936768
58,常诚蛋糕名店,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.293566,23.492985
59,饮得爽魅力茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.293099,23.491614
60,十一咖啡吧,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.356786,23.458397
61,益禾堂(花城大街),餐饮服务,甜品店,甜品店,广东省,广州市,花都区,113.293438,23.493176
62,卓玛拉姆主题咖啡店,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.280552,23.5793
63,覃公子蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.331554,23.335748
64,家园甜品,餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.30202,23.334952
65,新利饼家(人和西街店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.29995,23.33308
66,为食猫,餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.300487,23.332729
67,向南庄小时光烘培屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.324322,23.422296
68,麦迪娜蛋糕店(广州花都花东店),餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.329081,23.436771
69,水果捞,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.310957,23.398989
70,泰猴味奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.322384,23.433435
71,不亦茶乎,餐饮服务,冷饮店,冷饮店,广东省,广州市,花都区,113.321028,23.433565
72,菠萝蜜奶茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.319038,23.173588
73,Have fun趣致总动员桌游休闲吧,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,天河区,113.319598,23.173253
74,皇冠新玛莉(梅花园店),餐饮服务,糕饼店,糕饼店,广东省,广州市,天河区,113.320098,23.174321
75,1点点(梅花园),餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.320022,23.17414
76,漫藤咖啡馆(怡新路店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,白云区,113.321797,23.176078
77,黑龍茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.318484,23.174252
78,美香源西饼屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,天河区,113.31762,23.16982
79,甜橙蛋糕店,餐饮服务,糕饼店,糕饼店,广东省,广州市,天河区,113.318482,23.173843
80,利口福(怡新花园店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.322026,23.17547
81,芊语西饼,餐饮服务,糕饼店,糕饼店,广东省,广州市,天河区,113.318355,23.17198
82,茶萃吧(东平地铁口E出口店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.317793,23.252564
83,瑞划算,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,白云区,113.31913,23.253117
84,诗玛蛋糕(东平分店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.313923,23.252663
85,清新强劲凉茶有限公司,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.314771,23.253436
86,皇冠新玛莉(东平F店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.316896,23.250541
87,东海堂(白云东平地铁店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.317877,23.251548
88,佳麦蛋糕(涉外店),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.364131,23.252287
89,超润糖水,餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.364617,23.252382
90,白露寻味椰子冰,餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.364622,23.25327
91,Luckin coffee瑞幸咖啡(小马驹创意园店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,天河区,113.376786,23.21396
92,圣玛莉(彭城一街),餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.360964,23.291539
93,柠起柠檬茶室,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.361722,23.291968
94,益禾堂(良田南国商学院校外店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.38359,23.340954
95,麦语家园·蛋糕烘焙(黄埔村直营店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.397958,23.092967
96,平安堂凉茶店(黄埔村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.398225,23.093815
97,强力凉茶(盘石大街),餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.397889,23.092853
98,尚一面包蛋糕房,餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.398299,23.093771
99,利口福(黄埔古村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.398039,23.093432
100,金早绿点(黄埔古村店),餐饮服务,糕饼店,糕饼店,广东省,广州市,海珠区,113.397967,23.093934
101,港缘港式奶茶休闲小吃,餐饮服务,冷饮店,冷饮店,广东省,广州市,海珠区,113.396905,23.091371
102,应许之地,餐饮服务,甜品店,甜品店,广东省,广州市,海珠区,113.400489,23.094818
103,香麦佳,餐饮服务,糕饼店,糕饼店,广东省,广州市,天河区,113.39996,23.169994
104,咪咕咖啡,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,天河区,113.40007,23.174419
105,mona茉那水果茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.400819,23.17141
106,皇茶创客休闲吧(凌塘店),餐饮服务,冷饮店,冷饮店,广东省,广州市,天河区,113.400167,23.168439
107,彩蝶轩(番禺清河店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.397257,22.935634
108,茶理斯(石岗店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.398016,22.937265
109,皇冠·玛莉奥(东怡店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.392763,22.932769
110,海记饼店,餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.393867,22.93823
111,冰心糖水炖品店·快餐,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.398416,22.938307
112,皇冠·玛莉奥(石岗店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.398156,22.936995
113,诗意烧仙草,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.398419,22.93697
114,Caidie Bakery采蝶轩(石岗店),餐饮服务,糕饼店,糕饼店,广东省,广州市,番禺区,113.39617,22.938969
115,南筑咖啡NAM ZUK,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,番禺区,113.398433,23.00891
116,胜神堂凉茶(北大街),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.395578,23.010047
117,锦康本草凉茶行(南村店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.395342,23.009361
118,超润甜品(南村南山大道店),餐饮服务,甜品店,甜品店,广东省,广州市,番禺区,113.394501,23.008379
119,圣歌绿岛时尚饮品,餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.394888,23.008709
120,书亦烧仙草(华南理工店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.400102,23.008221
121,啊一柠檬茶(南村南光广场店),餐饮服务,冷饮店,冷饮店,广东省,广州市,番禺区,113.391298,23.007996
122,太子面包店,餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.38979,22.78266
123,吉豆小吃店,餐饮服务,休闲餐饮场所,休闲餐饮场所,广东省,广州市,南沙区,113.388483,22.783173
124,自由饮吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.391034,22.780917
125,逗号咖啡店,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.401283,22.796815
126,珍之堡咖啡(大岗店),餐饮服务,咖啡厅,咖啡厅,广东省,广州市,南沙区,113.400467,22.79496
127,壹茶惊人(潭州店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.385488,22.787426
128,沃茶(大岗店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.387251,22.785847
129,遇茶(潭洲店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.389443,22.783916
130,爽洋洋魅力茶吧,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.407833,22.887235
131,茶悦,餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.383968,22.864959
132,大口九,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,南沙区,113.404556,22.885995
133,堡滋味汉堡·炸鸡(南沙太石店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.402635,22.889717
134,彩贤轩面包店(大简店),餐饮服务,糕饼店,糕饼店,广东省,广州市,南沙区,113.4097,22.868762
135,8090鲜萃茶(太石店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.405295,22.886682
136,谷美陶九简餐·饮品(太石店),餐饮服务,冷饮店,冷饮店,广东省,广州市,南沙区,113.404795,22.886163
137,芝味面包(高平店),餐饮服务,甜品店,甜品店,广东省,广州市,从化区,113.413689,23.707281
138,三笑皇茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.415188,23.670272
139,美点面包,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.41362,23.668842
140,韬韬面包店,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.414675,23.669222
141,首茶官奶茶店,餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.414262,23.66874
142,小焙熊烘焙屋,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.411659,23.666217
143,龙新茶艺,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,从化区,113.414836,23.668516
144,皇冠新玛莉(北兴店),餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.419456,23.425063
145,丽莎烘焙,餐饮服务,糕饼店,糕饼店,广东省,广州市,花都区,113.420037,23.423976
146,预幸茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.403636,23.383296
147,DKJ咖啡茶饮,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.405986,23.430903
148,广州富力空港假日酒店-咖啡厅,餐饮服务,咖啡厅,咖啡厅,广东省,广州市,花都区,113.359245,23.455967
149,米多多烘培,餐饮服务,糕饼店,糕饼店,广东省,广州市,从化区,113.496927,23.479309
150,椰子有约(钟落潭店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.407973,23.382667
151,龙廷轩茗茶,餐饮服务,茶艺馆,茶艺馆,广东省,广州市,白云区,113.406733,23.38382
152,HonG Cha鸿味(钟落潭店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.406341,23.381866
153,熙茶(棋杆店),餐饮服务,冷饮店,冷饮店,广东省,广州市,从化区,113.506354,23.579826
154,纳盛茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.48616,23.310712
155,小村面包工作室,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.451804,23.328019
156,DKJ咖啡茶饮,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.451404,23.328015
157,益禾堂(仲恺北门店),餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.448114,23.369191
158,化州超润糖水(东门美食城店),餐饮服务,甜品店,甜品店,广东省,广州市,白云区,113.448167,23.369809
159,私房蛋糕,餐饮服务,糕饼店,糕饼店,广东省,广州市,白云区,113.478052,23.412434
160,DAKOUJIU,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478273,23.411288
161,大口九,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.47823,23.410998
162,一加一美食,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478552,23.40992
163,立茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478401,23.409249
164,TT鲜茶,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.47875,23.40946
165,茶大大BBT,餐饮服务,冷饮店,冷饮店,广东省,广州市,白云区,113.478222,23.409422
