,黄冈中学广州学校实验小学,科教文化服务,学校,小学,广东省,广州市,花都区,113.236054,23.419135
0,长岗中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.220333,23.427843
1,圆玄中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.214795,23.409575
2,广州市花都区新华中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.219429,23.378817
3,芙蓉成人高级中学,科教文化服务,学校,成人教育,广东省,广州市,花都区,113.235267,23.48422
4,芙蓉中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.221419,23.466198
5,花山中学,科教文化服务,学校,中学,广东省,广州市,花都区,113.277882,23.459034
6,广州市白云区大朗中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.243926,23.239258
7,广州市第六十五中学江高校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.222905,23.263374
8,培英中学平沙校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.263047,23.248368
9,江村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.237887,23.276099
10,江高镇第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.220468,23.273527
11,黄冈中学广州学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.256762,23.366434
12,白云区珠江中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.260372,23.32542
13,广州市第六十六中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.20567,23.335881
14,广东实验中学(高中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.227835,23.073493
15,广州市第一中学初中部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.234873,23.113999
16,广州市真光中学白鹤洞校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.245134,23.077277
17,广州市花地中学南校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.232985,23.097188
18,广州市第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,越秀区,113.258968,23.114932
19,广州市同德南方中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.238393,23.167297
20,信孚泽德中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.239541,23.176103
21,广州市第六十五中学同德校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.242406,23.17858
22,广州市第六十七中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.249618,23.178807
23,广州市第六十五中学同德校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.24117,23.17913
24,广州市白云区西洲中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.221678,23.168763
25,石北中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.303146,23.01985
26,洛溪新城中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.305012,23.044995
27,富丽中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.323353,23.028374
28,广州市第六中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.306832,23.09787
29,广州市景中实验中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.329292,23.092842
30,番禺实验中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.356337,22.945459
31,象贤中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.332864,22.906843
32,象达中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.345379,22.913557
33,禺山高级中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.353971,22.922015
34,沙头中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.344582,22.949443
35,象骏中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.298281,22.90373
36,钟村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.323375,22.971887
37,禺山高级中学交通安全学习室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.352334,22.922334
38,联安中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.331042,23.467865
39,花山中学教学楼,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.278721,23.458326
40,梯面中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.291789,23.556733
41,人和第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.299165,23.326887
42,广州市第七十三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.307535,23.345262
43,竹料第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.349361,23.365013
44,竹料第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.352826,23.346464
45,广州市第七十一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.294303,23.318682
46,大塘中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.348445,23.424031
47,迳口中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.317831,23.438401
48,人和第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.320546,23.377674
49,花东中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.339076,23.446958
50,天河区成龙中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.316646,23.169874
51,广州市第七十五中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,天河区,113.319,23.159904
52,广州市第一一五中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.359546,23.277923
53,广州大同中学(初中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.382523,23.34089
54,广州市白云区太和中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.359797,23.294985
55,广州成龙教育集团白云区成龙中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.3598,23.343727
56,黄埔中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.392621,23.089476
57,六中珠江中学(万胜围校区),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,海珠区,113.387654,23.095386
58,桥城中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.38439,22.943474
59,市桥桥兴中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.374635,22.92551
60,东风中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.375212,22.933892
61,南村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.390529,22.996713
62,广州大学附属中学(大学城校区),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.387132,23.045562
63,大岗中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.41124,22.798734
64,潭山中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.382678,22.787356
65,广州市南沙灵山中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.417474,22.811929
66,南沙鱼窝头第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.406363,22.883905
67,广州市南沙区榄核第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.392664,22.825879
68,龙潭中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.415456,23.656309
69,鳌头中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.412837,23.624824
70,从化区龙潭中学家长学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.416875,23.657391
71,北兴中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.425638,23.43344
72,榴花中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.412624,23.431424
73,广东第二师范学院实验中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.406694,23.38618
74,广东第二师范学院实验中学(初中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.407757,23.385424
75,白云区钟落潭中学家长学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.407405,23.384873
76,从化区棋杆中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.507882,23.581836
77,太平中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.476415,23.428804
78,从化区太平第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.480221,23.435165
79,广州市第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.471889,23.176544
80,玉岩中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.496491,23.180398
81,广州科学城中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.492436,23.182449
82,化龙中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.45965,23.030674
83,番禺区石楼中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.477242,22.974705
84,石楼第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.485749,22.979764
85,广州市番禺区石楼镇莲花山中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.497371,22.978074
86,双沙中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.483721,23.093053
87,广州石化中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.473203,23.104161
88,民乐中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.476223,23.658329
89,民乐中学家长学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.476398,23.657805
90,广州市第八十八中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.498661,23.089795
91,中大附属外国语实验中学高中招生办,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.457103,23.096444
92,广州市第八十六中学分校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.455758,23.112262
93,三和庄中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.077975,23.402436
94,花都区赤坭中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.060928,23.395699
95,炭步中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.107755,23.335074
96,花都炭步第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.109066,23.325308
97,花都区第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.103859,23.343167
98,广州市花都区狮岭中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.15763,23.464562
99,狮峰中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.164242,23.462154
100,冯村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.133129,23.453806
101,广州大学附属中学花都实验学校狮岭校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.172485,23.468091
102,广州市白云区神山中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.186734,23.333849
103,石龙中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.193501,23.314997
104,花都区新华九潭中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.183143,23.381493
105,花都区新华九潭中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,花都区,113.183143,23.381493
106,石滩第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.793576,23.17556
107,石滩第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.795879,23.172429
108,石滩第一中学-致远辅导,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.795698,23.17253
109,石滩港侨中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.792079,23.178072
110,黄冈中学广州增城学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.806118,23.180327
111,黄冈中学增城学校小学部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.803186,23.179219
112,增城区第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.822018,23.242464
113,增城中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.835048,23.290593
114,荔景中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.81113,23.281714
115,增城中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.790277,23.290754
116,增城县华侨中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.825771,23.282547
117,派潭中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.78524,23.488541
118,派潭镇第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.791711,23.490066
119,增城区派潭镇第三中学家长学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.790789,23.489309
120,增城中学附属英华学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.836437,23.299529
121,大鹏中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.83608,23.301322
122,增城中学附属小学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.804404,23.303865
123,荔城街第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.800181,23.293119
124,广州市增城区小楼中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.787666,23.41941
125,小楼镇第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.78594,23.418958
126,小楼镇中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.831869,23.378219
127,荔城街第三中学党总支部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.800995,23.294651
128,增城正果中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.889959,23.410854
129,增城区第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.865239,23.272574
130,荔城中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.854174,23.282078
131,增城高级中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.852651,23.287645
132,郑中钧中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.847495,23.289355
133,荔城街第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.840601,23.299481
134,三江第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.858195,23.184062
135,三江第一中学和合楼,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.85826,23.183707
136,三江第二中学校务监督委员会,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.858989,23.186084
137,吕田中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.956552,23.81239
138,城郊中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.578077,23.5782
139,从化中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.575629,23.546904
140,从化第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.578996,23.552604
141,从化区第四中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.587783,23.554149
142,从化区第七中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.5935,23.555375
143,从化中学-明师教育,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.574612,23.547725
144,神岗第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.555319,23.502164
145,神岗中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.527357,23.479622
146,广州市从化区流溪中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.586083,23.529144
147,镇龙第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.577519,23.275537
148,南洋华中学校(建设中),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.547958,23.333108
149,黄埔区会元中学(建设中),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.536789,23.332065
150,广州市黄埔区九佛第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.520571,23.348451
151,鱼窝头中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.457361,22.858528
152,东涌中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.456483,22.880417
153,广铁一中天成中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.479252,22.944949
154,广铁一中天峰中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.494182,22.94676
155,石碁第四中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.444381,22.933524
156,广州大学附属中学南沙实验学校-小学部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.491091,22.783144
157,广州大学附属中学南沙实验学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.49088,22.784184
158,广州市铁一中学番禺校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.487584,22.947588
159,广州市铁一中学(番禺校区)-化学实验室,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.487924,22.948093
160,番禺区石碁中学社区教育辅导站,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,番禺区,113.44613,22.947137
161,河东中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.616622,23.532405
162,从化区第三中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.604749,23.542639
163,桃园中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.67338,23.608175
164,广州市黄埔区新港中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.538813,23.095492
165,广州市黄埔区东区中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.536603,23.105007
166,永和中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.578892,23.192059
167,广州市香江中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.556253,23.133323
168,永新中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.576893,23.195435
169,广州市南沙第一中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.540473,22.787377
170,华南师范大学附属南沙中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.536459,22.819841
171,珠江中学-培正教育,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.548651,22.703401
172,广州市南沙珠江中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.549832,22.703395
173,广州市南沙万顷沙中学(南校区),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.589787,22.660296
174,广州市英东中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.611731,22.761703
175,NCPA美式中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.611996,22.764048
176,广州市第二中学南沙天元学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.598729,22.771406
177,从化区良口中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.733069,23.722228
178,从化区良口中学家长学校,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.733069,23.722228
179,福和中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.63116,23.357134
180,沙埔中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.660607,23.161449
181,新塘第二中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.643104,23.151738
182,中新中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.616589,23.28853
183,灌村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,从化区,113.687832,23.578561
184,朱村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.700188,23.289505
185,仙村中学,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,增城区,113.71829,23.184111
186,广州市第一中学初中部,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.234873,23.113999
187,广州大同中学(初中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.382523,23.34089
188,广东第二师范学院实验中学(初中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,白云区,113.407757,23.385424
189,有思教育初中校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.458116,23.105643
190,小升初中考高考,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.549351,22.704727
191,广东实验中学(高中部),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,荔湾区,113.227835,23.073493
192,米高中英文幼儿园,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.466356,23.106123
193,中黄国际美国GIA高中,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.456948,23.096426
194,中大附属外国语实验中学高中招生办,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.457103,23.096444
195,有思教育高中校区,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.455109,23.104058
196,有思教育(高中校区),科教文化服务,科教文化场所,科教文化场所,广东省,广州市,黄埔区,113.458021,23.105649
197,ULC剑桥国际高中,科教文化服务,科教文化场所,科教文化场所,广东省,广州市,南沙区,113.611739,22.763381
