,冠元推拿养生,医疗保健服务,诊所,诊所.1,广东省,广州市,花都区,113.235386,23.409007
0,花都区花城街三东村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.234244,23.413332
1,杜丽芬诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.231596,23.402916
2,冠元中医,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.235366,23.40888
3,康和医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.231555,23.422071
4,益民门诊部(凤凰北路),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.233695,23.406862
5,花都区花东镇山下村卫生站分站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.243144,23.41078
6,朱寒梅诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.234266,23.421116
7,曾广键诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.239174,23.403813
8,新和诊所(馨泉居北),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.247176,23.413718
9,瑞边村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.235108,23.490953
10,花都区狮岭镇新庄卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.23594,23.479551
11,康明综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.224674,23.469241
12,花都旗岭综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.221839,23.468864
13,新民卫生所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.223296,23.467819
14,高建宏诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.223635,23.467591
15,花都区健民综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.220737,23.470147
16,花都农民工综合医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.224617,23.469352
17,花山镇儒林村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.258307,23.480167
18,广州市惠民门诊部(大朗中路),医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.24362,23.239706
19,何智良诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.228257,23.254327
20,谭德耀诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.250197,23.253353
21,许兰诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.250835,23.254669
22,陈沛文诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.250413,23.258833
23,播创医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.242346,23.239323
24,尹引连诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.240255,23.239002
25,新楼社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.241782,23.335511
26,雅博医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230837,23.33976
27,雅亿囗腔,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230485,23.340632
28,东镜村雅博门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230778,23.339858
29,安泰门诊,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.233846,23.343617
30,东镜卫生分站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.22939,23.339228
31,杨汉文诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.227632,23.340798
32,花都区新雅街道东镜村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.23115,23.341185
33,陈四诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.227503,23.340718
34,东镜医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.230752,23.340502
35,花都易康诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.246308,23.347401
36,长岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.258095,23.323528
37,广州市花都区新华镇东镜村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.231158,23.341308
38,芳华门诊,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.237115,23.093469
39,泰健中医门诊部,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.237337,23.094579
40,协同诊所,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.23728,23.089696
41,翰阳口腔门诊,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.232221,23.091409
42,信德门诊部,医疗保健服务,诊所,诊所,广东省,广州市,荔湾区,113.231382,23.094119
43,馨良医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.239237,23.172705
44,林鸿彪诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.240289,23.173223
45,广润门诊,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.239396,23.17061
46,利德门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.236014,23.173987
47,邓林诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.239427,23.170931
48,李振元诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.240097,23.170329
49,洪昌工业路诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.317088,23.012648
50,大石礼村诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.31786,23.01301
51,冶金门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.315154,23.022424
52,全国口腔连锁机构,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.324019,23.011198
53,广州中医药第一附属医院第二门诊部,医疗保健服务,诊所,诊所,广东省,广州市,海珠区,113.311717,23.095761
54,广州市桂田门诊,医疗保健服务,诊所,诊所,广东省,广州市,海珠区,113.317524,23.090691
55,广州国良中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,海珠区,113.322303,23.092711
56,周江齿科,医疗保健服务,诊所,诊所,广东省,广州市,海珠区,113.314804,23.09508
57,张松村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.307803,22.867832
58,甘岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.33044,22.872227
59,口腔门诊,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.337048,22.833899
60,榄核医院牛角村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.343389,22.863806
61,横江村朱日其社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.317946,22.933879
62,广州市番禺区沙头街横江村莲湖卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.317946,22.933879
63,广州市番禺区沙头街大平村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.337691,22.946771
64,广州抖疤中医门诊,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.340053,22.935977
65,小平村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.331941,22.952152
66,泉恩有妳健康服务,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.334983,22.950913
67,康民诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.339302,22.948827
68,康民诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.339302,22.948827
69,爱康门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.341503,22.949378
70,番禺区刘三珠中西医结合诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.34357,22.924218
71,黎志军内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.347437,22.943205
72,花东镇九子村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.318947,23.481334
73,刘秀娟诊所(大东刘辉主诊),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.29536,23.489712
74,花山镇狮民村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.3149,23.513577
75,花都区花东镇珠湖村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.331711,23.474178
76,刘秀娟诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.295313,23.489689
77,花城卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.293505,23.492477
78,花都区花山镇布岗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.301268,23.476361
79,惠民牙科,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.334651,23.4694
80,花都区花山镇花城村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.295035,23.493073
81,花都区花东镇联安村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.333868,23.469621
82,花山镇福源村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.292329,23.496905
83,花都区花山镇城西村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.286688,23.493284
84,花都区花山镇永乐村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.293447,23.483146
85,花都区花山镇东方村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.291596,23.461634
86,郑帮华诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.357089,23.457076
87,梯面镇埔岭村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.294726,23.550261
88,红山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.280007,23.579994
89,从化区鳌头镇洲洞卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.352123,23.60081
90,粱颖婉内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.351134,22.945977
91,赵恒茂内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.345722,22.910286
92,得如中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.355759,22.935301
93,肖家州跌打馆,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.343148,22.908426
94,广州市番禺区沙头街榄山卫生站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.351136,22.946019
95,番禺区赵恒茂诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.345615,22.910279
96,古坝西村韩伯安社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.290171,22.91719
97,颐德康中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.308869,22.966904
98,东华村卫生站(人和华成路),医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.297119,23.348942
99,虎塘诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.329464,23.331805
100,鹤亭卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.313349,23.323694
101,回生堂中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.323683,23.343909
102,西成村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.294626,23.343477
103,康众中西医结合诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.304347,23.339876
104,人和村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.304437,23.339712
105,大沥卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.333494,23.308552
106,回生堂中医诊所(广州)有限公司,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.323512,23.343925
107,苗乡鼻炎馆,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.300964,23.332239
108,刘承立中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.298742,23.335102
109,高增村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.308043,23.348199
110,钟务超诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.298756,23.334328
111,花都区花东镇山下村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.325691,23.417029
112,花都区花东镇七庄村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.329409,23.411402
113,花都东成综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.319512,23.436091
114,花东镇九一村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.316916,23.426114
115,花都区花东镇李溪村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.341083,23.400537
116,花都区花东镇三凤村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.311233,23.433676
117,三圆诊所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.321903,23.436922
118,象山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.333525,23.440511
119,广安门诊部,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.318971,23.173534
120,广圣门诊部,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.318984,23.173479
121,静辉医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.319064,23.173639
122,康鑫门诊,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.317798,23.170603
123,康林门诊,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.316876,23.255455
124,唐丽清诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.315935,23.250306
125,中大口腔东平预约点,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.313856,23.253218
126,广州市黄埔区联和街天鹿湖社区卫生服务站,医疗保健服务,诊所,诊所,广东省,广州市,黄埔区,113.437198,23.259326
127,和龙卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.362581,23.288514
128,米龙村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.363145,23.29148
129,内科诊所中心,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.361121,23.29246
130,广康门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.361073,23.292466
131,米龙医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.363167,23.291401
132,文辉诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.308389,23.262779
133,良田卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.386648,23.34989
134,众康诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.381446,23.324251
135,金盆社区医疗,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.381428,23.324241
136,文新医疗,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.381493,23.324362
137,金盆村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.378631,23.323907
138,良田诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.39092,23.352877
139,头陂村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.393417,23.307421
140,钟落潭镇卫生院白沙村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.372363,23.343927
141,贺建航诊所,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.367518,23.343658
142,乌溪卫生站碎石中心,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.365824,23.343742
143,广东外语外贸大学南校区门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.395424,23.063156
144,琶洲街社区卫生服务中心预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,海珠区,113.406975,23.087559
145,海珠区琶洲街社区卫生服务中心门诊部,医疗保健服务,诊所,诊所,广东省,广州市,海珠区,113.406771,23.08775
146,益康诊所(西环路),医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.41281,23.12262
147,泰康门诊(车陂东闸口大街),医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.398656,23.117703
148,康乐诊所(车陂石灰厂路),医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.398145,23.121754
149,天河门诊部,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.400517,23.169599
150,梁群清诊所,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.400066,23.170828
151,文康门诊,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.401022,23.169053
152,凌塘社区卫生服务站预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.399144,23.16824
153,郑修明中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.407174,23.16689
154,红会医院门诊,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.411812,23.157781
155,康福门诊部,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.382491,23.162371
156,寿宇堂国医馆,医疗保健服务,诊所,诊所,广东省,广州市,天河区,113.383303,23.168204
157,美心花园医务室,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.397522,22.936421
158,顺福国医馆,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.39768,22.937045
159,张艳中医(综合)诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.397286,22.937545
160,吴开阳诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.400864,22.937758
161,综证中医,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.392304,22.935231
162,华宇综合门诊部,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.395891,22.938871
163,谢玉飞门诊,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.395657,23.010011
164,广州番禺区南村谢玉飞内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.395765,23.009965
165,何汉松内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.394354,23.009014
166,汇康牙科,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.387526,23.0059
167,广州任晓玲诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.396009,23.006438
168,刘彦祖诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.393709,23.006914
169,中科中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.39366,23.006901
170,大岗镇社区卫生服务中心预防接种门诊,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.391209,22.782705
171,佳美口腔(成康门诊部分店),医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.401007,22.804531
172,南沙区第六人民医院维毓村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.384777,22.783456
173,定民内科诊所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.402649,22.797361
174,邝雪青诊所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.406688,22.796764
175,吴心全中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.407131,22.79793
176,榄核医院沙角村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.39617,22.84317
177,广州市南沙区榄核镇沙角村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.396201,22.843272
178,九比卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.388521,22.843464
179,榄核医院九比村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.389847,22.838368
180,大简社区卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.411108,22.869602
181,榄核镇子沙村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.370173,22.852659
182,小乌村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.430141,22.863716
183,行知健康服务站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.401818,22.881161
184,墩塘村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.370485,22.836349
185,榄核医院墩塘村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.370486,22.836355
186,榄核医院平稳村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.402491,22.819338
187,顺河村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.383442,22.821767
188,鱼窝头医院太石村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.405654,22.886196
189,博盈中医门诊部,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.404967,22.884636
190,博盈医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.403193,22.889254
191,南沙区东涌镇太石村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.40559,22.886159
192,南沙区东浦镇太石村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.405659,22.886284
193,普仁中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.394605,22.889865
194,西樵村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.379198,22.888337
195,上坭卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.381117,22.874237
196,红十字博爱卫生站,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.363441,22.878874
197,大坳村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.363329,22.878959
198,广州市从化区鳌头镇下西村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.393854,23.716973
199,鳌头镇乌石村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.399172,23.699243
200,从化林医生,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.413882,23.700931
201,广州市从化区鳌头镇高平村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.41307,23.704317
202,灵山医院灵山卫生所(长堤路),医疗保健服务,诊所,诊所,广东省,广州市,南沙区,113.412533,22.806303
203,象新村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.419954,23.584145
204,鳌头镇丁坑村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.430506,23.553957
205,桥头卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.426077,23.612249
206,王范华诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.362899,23.019941
207,北约中医特色门诊,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.426209,23.033577
208,嘉康诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.362825,23.019778
209,苏汉龙中医诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.370795,22.991328
210,谭玉鑫诊所,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.367262,22.993503
211,谭医师,医疗保健服务,诊所,诊所,广东省,广州市,番禺区,113.367204,22.993355
212,龙潭医院-发热诊室,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.413158,23.66636
213,西山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.378848,23.657045
214,广州市从化区鳌头镇横江村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.398857,23.684433
215,广州市从化区鳌头镇水西村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.411011,23.622485
216,佳宜美口腔诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.429357,23.61934
217,鳌山村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.420317,23.621786
218,姚柱良口腔诊所,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.42308,23.619807
219,黄罗卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.423041,23.619274
220,新兔村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,从化区,113.431944,23.618358
221,莘田二村卫生所,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.410422,23.403125
222,吉星卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.384554,23.42922
223,龙冈卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.384459,23.393382
224,惠德医疗门诊部,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.404313,23.381741
225,花都区花东镇花侨港头社区卫生站,医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.405316,23.432209
226,风灵痛症调理院(华都北兴店),医疗保健服务,诊所,诊所,广东省,广州市,花都区,113.419061,23.424466
227,长腰岭卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.429555,23.384023
228,黎氏骨伤科,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.402847,23.385686
229,长沙埗村卫生站,医疗保健服务,诊所,诊所,广东省,广州市,白云区,113.41737,23.392049
