,吴仕娣西医内科诊所,医疗保健服务,专科医院,专科医院.1,广东省,深圳市,宝安区,113.783813,22.724596,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,陈年虎中医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.783763,22.727943,,,,,
1,润笑口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.78624,22.733426,,,,,
2,润笑口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.786233,22.733486,,,,,
3,叶泉明口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.789611,22.715049,,,,,
4,深圳博泰口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.790627,22.692433,,,,,
5,黎国崇西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.807832,22.763956,,,,,
6,翁叨艳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.809976,22.75888,,,,,
7,忠诚口腔护理,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.810637,22.75536,,,,,
8,牙牙乐,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.812372,22.754741,,,,,
9,深圳贝奇口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.813664,22.754182,,,,,
10,永安妇科,医疗保健服务,专科医院,妇科医院,广东省,深圳市,宝安区,113.815871,22.753721,,,,,
11,深圳爱达口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.809275,22.723349,,,,,
12,深圳维良德口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.806407,22.723229,,,,,
13,深圳维良德口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.806362,22.723152,,,,,
14,丹妮特口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.816826,22.719602,,,,,
15,益齿佳牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.807216,22.68564,,,,,
16,深圳美思特口腔诊所(社保店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.808058,22.684895,,,,,
17,桥头叶生牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.807267,22.685735,,,,,
18,深圳雅美康口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.808542,22.686783,,,,,
19,四季河山口腔连锁福永福中店,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.812766,22.674191,,,,,
20,深圳雅瑞康口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.810559,22.690644,,,,,
21,深圳赖成梅口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.821934,22.652566,,,,,
22,深圳彭志灵口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.821929,22.652426,,,,,
23,徐婷口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.825247,22.650408,,,,,
24,瞳领眼科(福永店),医疗保健服务,专科医院,眼科医院,广东省,深圳市,宝安区,113.818726,22.661025,,,,,
25,深圳瞳仁眼科诊所,医疗保健服务,专科医院,眼科医院,广东省,深圳市,宝安区,113.819282,22.670675,,,,,
26,瞳仁眼科,医疗保健服务,专科医院,眼科医院,广东省,深圳市,宝安区,113.819708,22.670809,,,,,
27,杨永坚西医妇科诊所,医疗保健服务,专科医院,妇科医院,广东省,深圳市,宝安区,113.819542,22.674011,,,,,
28,深圳河山福永口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.826268,22.675263,,,,,
29,深圳常煜口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.814221,22.668273,,,,,
30,深圳周明清口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.799117,22.673476,,,,,
31,李绿军口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.80146,22.671933,,,,,
32,李运贤口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.813978,22.667926,,,,,
33,许军军口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.818663,22.670265,,,,,
34,佳雅口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.820437,22.670432,,,,,
35,深圳叶生口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.825034,22.674819,,,,,
36,深圳广雅口腔门诊,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.823276,22.672395,,,,,
37,雅芳牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.823751,22.672353,,,,,
38,叶志锋口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.820997,22.669995,,,,,
39,福兴口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.821753,22.693761,,,,,
40,邓健锋口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.801971,22.66911,,,,,
41,爱康美连锁齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.822113,22.670714,,,,,
42,深圳雅达口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.844579,22.799228,,,,,
43,陈生口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.843317,22.803102,,,,,
44,深圳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.841922,22.799871,,,,,
45,郑民口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.842196,22.80479,,,,,
46,龚西磊口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.841491,22.800573,,,,,
47,深圳美惠口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.842858,22.807596,,,,,
48,深圳概念丽口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.852136,22.762512,,,,,
49,世纪河山口腔连锁(松岗店—-深圳河山淞港口腔门诊部),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.850748,22.763742,,,,,
50,口腔护理,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.854743,22.764527,,,,,
51,深圳雅天使口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.856311,22.763364,,,,,
52,李志勇口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.846846,22.716769,,,,,
53,郑金泉口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.843658,22.719198,,,,,
54,深圳胡悦华口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.859548,22.719224,,,,,
55,史为口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.844252,22.716667,,,,,
56,深圳希尔健口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.860618,22.719299,,,,,
57,叶坚牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.839443,22.6867,,,,,
58,李志雄口腔诊所(凤凰分店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.839475,22.68886,,,,,
59,深圳罗绿意口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.836408,22.691925,,,,,
60,深圳莫海丽口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.834963,22.689604,,,,,
61,叶生牙科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.837821,22.692523,,,,,
62,钟亮清口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.84267,22.628177,,,,,
63,魏少波口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.852301,22.599654,,,,,
64,口腔牙科诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.851592,22.601222,,,,,
65,深圳翁国宏口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.851381,22.601086,,,,,
66,深圳鼎固口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.850264,22.60221,,,,,
67,皓齿口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.851167,22.60274,,,,,
68,深圳固隆西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.852438,22.599961,,,,,
69,西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.849265,22.601838,,,,,
70,深圳宝航口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.852505,22.603889,,,,,
71,深圳领航口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.852504,22.603898,,,,,
72,深圳远东宝安妇产医院(装修中),医疗保健服务,专科医院,妇科医院,广东省,深圳市,宝安区,113.852961,22.604857,,,,,
73,五洲口腔科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.852789,22.60521,,,,,
74,深圳慧齿口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.850427,22.597825,,,,,
75,深圳爱贝口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.854786,22.567216,,,,,
76,诺德齿科(碧海湾旗舰店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.854906,22.568022,,,,,
77,深圳迪拜雅健口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.854707,22.568906,,,,,
78,晓霞口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.859879,22.564795,,,,,
79,深圳品创口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.857273,22.570437,,,,,
80,拜迩口腔(悦和路),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.857665,22.571444,,,,,
81,深圳恒牙口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.854052,22.572977,,,,,
82,深圳禾沐星辉口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.863742,22.566642,,,,,
83,同步齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.860972,22.570565,,,,,
84,张生口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.864065,22.566298,,,,,
85,同步齿科同正口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.860887,22.570498,,,,,
86,深圳禾沐口腔门诊部旗舰店,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.866666,22.567216,,,,,
87,子文齿科(西乡店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.864558,22.573321,,,,,
88,深圳牙天使口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.86054,22.574357,,,,,
89,正夫口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.863769,22.574013,,,,,
90,深圳市诗雅口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.860548,22.57539,,,,,
91,深圳迪芽口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.868819,22.564699,,,,,
92,同步齿科·同正门诊·正畸种植旗舰店(西乡店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.860954,22.570577,,,,,
93,子文口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.864483,22.573067,,,,,
94,拜尔口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.861567,22.574943,,,,,
95,深圳圣淘沙骏园口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.863877,22.573598,,,,,
96,李秀萍口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.868378,22.569469,,,,,
97,深圳坪洲诺德口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.8691,22.570493,,,,,
98,美容牙牙齿矫正,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.870645,22.569354,,,,,
99,欧芽口腔(宝安店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.870705,22.5694,,,,,
100,深圳美加美医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,宝安区,113.870881,22.575913,,,,,
101,古汉城口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.86843,22.581231,,,,,
102,深圳仟诚口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.868459,22.581361,,,,,
103,深圳雅美佳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.889358,22.799853,,,,,
104,深圳李展文口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.887834,22.800172,,,,,
105,深圳张育兵口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.887245,22.803112,,,,,
106,深圳唐度和西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,光明区,113.887075,22.803794,,,,,
107,深圳思迈尔口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.89569,22.761616,,,,,
108,深圳苏芯口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.895726,22.761588,,,,,
109,健民口腔护理,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.903803,22.752779,,,,,
110,深圳马田爱尔眼科门诊,医疗保健服务,专科医院,眼科医院,广东省,深圳市,光明区,113.90307,22.766721,,,,,
111,同步齿科(光明高中店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.903135,22.7668,,,,,
112,深圳市光明区但柏炎西医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,光明区,113.897067,22.717417,,,,,
113,深圳方孝文口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.893686,22.715683,,,,,
114,圣浩齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.900385,22.716818,,,,,
115,深圳圣浩玉律口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.900294,22.71683,,,,,
116,深圳市光明区黄桂密西医妇科诊所,医疗保健服务,专科医院,妇科医院,广东省,深圳市,光明区,113.902306,22.727337,,,,,
117,梁郁贤中医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.898605,22.672637,,,,,
118,霍春华口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.893382,22.669187,,,,,
119,蔡六娣口腔专科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.892093,22.668317,,,,,
120,毅君口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.889739,22.778819,,,,,
121,周丽丽口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,光明区,113.893004,22.779222,,,,,
122,启飞齿科(西乡店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.885494,22.586815,,,,,
123,深圳赵来友口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.884526,22.599776,,,,,
124,深圳罡正口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.881402,22.59445,,,,,
125,彭锦文中医内科诊所,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.888613,22.586223,,,,,
126,壹方齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.881268,22.593902,,,,,
127,常艳艳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.879364,22.595363,,,,,
128,恒安康齿科连锁,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.87933,22.595342,,,,,
129,深圳壹方齐美口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.881249,22.593884,,,,,
130,深圳市宝安区计划生育专科医院,医疗保健服务,专科医院,专科医院,广东省,深圳市,宝安区,113.901035,22.565396,,,,,
131,郭汉国口腔科诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.892798,22.563098,,,,,
132,李论中医骨伤科诊所,医疗保健服务,专科医院,骨科医院,广东省,深圳市,宝安区,113.892439,22.560585,,,,,
133,深圳同仁妇产医院,医疗保健服务,专科医院,妇科医院,广东省,深圳市,宝安区,113.871617,22.575325,,,,,
134,吴震东口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.893926,22.56075,,,,,
135,壹方口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.888639,22.562158,,,,,
136,乐美医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,宝安区,113.893783,22.560612,,,,,
137,同步齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.893785,22.560619,,,,,
138,深圳乐美医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,宝安区,113.893756,22.560594,,,,,
139,深圳润颜医疗美容门诊部,医疗保健服务,专科医院,整形美容,广东省,深圳市,南山区,113.900729,22.52891,,,,,
140,意适美口腔管理中心(秀恩国际美学管理中心),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.89819,22.528653,,,,,
141,深圳中医糖尿病专科,医疗保健服务,专科医院,专科医院,广东省,深圳市,南山区,113.905362,22.511049,,,,,
142,前海口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.907209,22.511839,,,,,
143,夏军口腔诊所(第三分店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.904519,22.511048,,,,,
144,雅康口腔门诊部(南山旗舰店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.905929,22.510649,,,,,
145,同步齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.909771,22.515456,,,,,
146,雅美口腔,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.905435,22.534898,,,,,
147,雅美鑫口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.905563,22.534916,,,,,
148,英瑞齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.90995,22.514384,,,,,
149,深圳同步齿科同泰口腔门诊部,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.909771,22.515456,,,,,
150,深圳卓朗口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.891463,22.495605,,,,,
151,名晨齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,南山区,113.895172,22.501726,,,,,
152,深圳候武堂口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.887398,22.55845,,,,,
153,正强齿科(宝体店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.882532,22.561793,,,,,
154,领域齿科,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.888564,22.554145,,,,,
155,登特口腔(宝安店),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.888453,22.568659,,,,,
156,深圳张敬新口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.886408,22.567569,,,,,
157,深圳口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.886377,22.567605,,,,,
158,深圳希美医疗美容,医疗保健服务,专科医院,整形美容,广东省,深圳市,宝安区,113.882599,22.565019,,,,,
159,深圳八目口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.888303,22.554631,,,,,
160,深圳吴华娣口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.887398,22.568393,,,,,
161,王流波跌打正骨,医疗保健服务,专科医院,骨科医院,广东省,深圳市,宝安区,113.900478,22.557928,,,,,
162,惠民牙科(翻身小区八巷),医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.889114,22.56867,,,,,
163,深圳魅丽凰后医疗美容诊所,医疗保健服务,专科医院,整形美容,广东省,深圳市,宝安区,113.885931,22.556644,,,,,
164,深圳守正口腔诊所,医疗保健服务,专科医院,口腔医院,广东省,深圳市,宝安区,113.89612,22.554922,,,,,
