,金都汇,生活服务,洗浴推拿场所,洗浴推拿场所.1,广东省,深圳市,宝安区,113.784945,22.716002
188,罗世足艺堂(南光店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.92753,22.521176
189,君庭云悦按摩SPA(海岸城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931685,22.518154
190,正经推拿(海岸城中洲店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.934118,22.517789
191,沐足房养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.926353,22.524174
192,手技王(佳嘉豪苑店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.930697,22.516326
193,佰纳休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.924283,22.526026
194,一刻间新生代按摩馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.935491,22.518324
195,莱富堂中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931806,22.484198
196,第伊休闲按摩足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928513,22.488607
197,记得来足浴店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929137,22.485992
198,汉方足浴修脚店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928434,22.485236
199,月亮湾足浴保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928132,22.485993
200,悦足宝,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928929,22.486176
201,桑拿足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.931531,22.48641
202,民间缪师傅保健按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.930001,22.486836
203,金足缘足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928227,22.485327
204,好心情休闲屋,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927312,22.485936
205,美美足浴修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929556,22.486512
206,风彩足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.929251,22.486228
207,足之道足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927683,22.485494
208,客莱乐足浴推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928281,22.487116
209,拉菲酒店·按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927323,22.485907
210,爱足轩专业修脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927633,22.487149
211,好心情足浴推拿棋牌,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927358,22.485915
212,鹏式足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.928132,22.485993
213,晨安和健康管理,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.932901,22.487041
214,桃花源·养生SPA,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.927838,22.487008
215,金星海会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.968848,22.705246
216,沐足保健,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,宝安区,113.961082,22.683032
217,御鑫堂足浴店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,113.982727,22.678314
218,深圳麒麟山庄足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.972721,22.606623
219,名仕玉媛养生会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.964638,22.593097
220,汉方养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.96505,22.587452
221,古点盲人按摩(紫罗兰店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.967028,22.586323
222,古功夫肩颈(天使奇迹店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.966148,22.587603
223,天悦蓝湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.986416,22.589455
224,尊龙休闲e站,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.986,22.58908
225,金色海岸休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.965562,22.583623
226,好角色足浴养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.973342,22.560632
227,桃园足浴休闲中心(龙井路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.97352,22.559429
228,桃园休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.973656,22.55937
229,天元中医(医保定点)(龙井旗舰店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.97484,22.561167
230,足浴按摩(东区店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.975389,22.560633
231,华彩堂中医养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.97404,22.559914
232,龙祥足道,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.966764,22.567749
233,黄金海岸美食水会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.987811,22.53402
234,红树湾会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.965972,22.527691
235,闲来居足浴保健,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.969476,22.532047
236,康健盲人按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.96812,22.533077
237,祥雨轩盲人中医按摩(白石洲店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.969234,22.532161
238,康乐颂健康会,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.966552,22.532044
239,罗氏足艺堂(白石洲分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.96771,22.533869
240,诚信来专业修脚房,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,南山区,113.967379,22.53641
241,金莎娱乐(福城店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.015187,22.74337
242,金银海休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.018894,22.743291
243,新超越量贩KTV,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.016159,22.742322
244,明月港鑫利城休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.022833,22.745386
245,新盛唐休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.016131,22.743214
246,正源堂·针灸推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.020276,22.746892
247,中医理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.019942,22.746363
248,海岸足疗养生园,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.01566,22.742177
249,明月港星城会沐足理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.017214,22.744049
250,假日海岸,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.019277,22.745157
251,聚源休闲,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.019977,22.745416
252,金银海休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.01864,22.743735
253,金色月光养生园(北门海岸店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.015539,22.742167
254,鹏式足疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.015694,22.742092
255,鑫鑫港湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.00946,22.73136
256,明月港休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.009936,22.728494
257,汗蒸泡澡刮痧拔罐养生,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.013239,22.72843
258,瑶厢阁康足坊,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.012936,22.728976
259,御足堂健康会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.011662,22.729846
260,用集足疗经络养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.015096,22.728934
261,金色田园足浴保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.013358,22.729901
262,金海洋休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.015457,22.730593
263,老苗医10元泡脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.010394,22.729747
264,云海休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.007246,22.728691
265,金海休闲会所(清泉路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.029181,22.669102
266,安然纳米汗蒸美容理疗养生馆(大浪店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.010422,22.677616
267,金足养生阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.007183,22.677959
268,鑫香缘养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.007446,22.677023
269,拔罐刮痧,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.007274,22.677319
270,颜妍SPA(龙华店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.013467,22.642503
271,舒耳专业采耳(龙胜分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.011863,22.643787
272,耳清舒采耳·肩颈(上塘店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.013992,22.638332
273,推拿足浴(侨香路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.015399,22.551201
274,鼎尚养生足道(侨香店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.011306,22.547112
275,陈老二养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.02362,22.55162
276,泰康轩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.025481,22.533726
277,芭堤雅休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.029934,22.524901
278,东方明珠休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.026572,22.526569
279,贵人堂养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.025455,22.524562
280,衡和盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.023908,22.525855
281,唐氏推拿(下沙分店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.024823,22.528188
282,真功夫足浴推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.026744,22.524261
283,泰然桑拿会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.02272,22.530251
284,阿沐合·SPA按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.023972,22.52993
285,韩式汗蒸馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.024662,22.525039
286,深航国际酒店-桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.01912,22.534258
287,知足常乐,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.024807,22.525225
288,林师傅中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.026515,22.524542
289,古功夫肩颈(自然美金域蓝湾店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.02401,22.524076
290,大字门推拿按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.022492,22.532861
291,深航国际酒店-按摩室,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.01912,22.534258
292,鑫乐湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.035121,22.752795
293,企坪沐足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.056551,22.746244
294,企坪休闲都会(桂花店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.056626,22.746156
295,鑫港都休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.03456,22.753541
296,花样脚丫,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.034402,22.752948
297,金源兴养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.041472,22.746244
298,老苗医足浴泡脚超市,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.05701,22.743934
299,星月湾会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.051486,22.718925
300,苗家祖传刮痧拔火罐,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.054467,22.720736
301,新辉盲人按摩中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.056224,22.720556
302,申氏盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.055058,22.717912
303,金泉阁,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.055146,22.71926
304,第伊休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.062302,22.724602
305,周福平保健按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.055553,22.72115
306,老苗医养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.055508,22.719875
307,水月湾养生会所(布新路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.051526,22.718934
308,明月港休闲会所(众安街)(装修中),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.055072,22.718703
309,汉仁宫养生坊(观澜店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.052822,22.690528
310,巴黎岛足浴保健城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.050654,22.689925
311,易经堂古法小儿推拿第七分店(观澜店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.048358,22.685382
312,御金龙养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.049023,22.672273
313,鑫旺养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.053251,22.641894
314,金海湾休闲会所(暂停营业),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.060429,22.630988
315,黄家推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.054318,22.601338
316,福乐足浴按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.051675,22.600424
317,足笑堂9元泡脚养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.051342,22.600321
318,碧水龙庭足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.052439,22.600089
319,好佳足,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.054956,22.601488
320,罗氏足艺堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.053001,22.598998
321,扶元堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.049732,22.600483
322,宇桐纳米汗蒸养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.04707,22.60238
323,国珍盲人按摩店,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.055201,22.600217
324,永康盲人按摩,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.049474,22.599188
325,皇家足浴城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.046791,22.551998
326,万友休闲中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.045381,22.55704
327,豫康盲人中医推拿中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.053032,22.558966
328,简一理疗(梅林店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.05074,22.564474
329,志成推拿理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.054737,22.565717
330,景怡轩休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.054039,22.566484
331,慧福自然能量养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.045638,22.557735
332,韩式·汗蒸馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.05437,22.566665
333,阿卡圣养生部落,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.053591,22.564304
334,郑远元专业修脚房(梅林购物广场店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.04901,22.564961
335,强身推拿连锁(莲花北店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.04728,22.558221
336,绿洲国际水疗会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.047646,22.521084
337,益康盲人推拿(福强路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.053567,22.515005
338,不夜天俱乐部,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.046398,22.525687
339,足海足浴中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.051951,22.521673
340,银天阁会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.047359,22.527757
341,尊享SPA养生按摩会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.053134,22.521212
342,祥悦阁SPA按摩中心(福田店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.052429,22.52067
343,欣新港城,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.049449,22.52366
344,阁瑞斯·泰式按摩推拿SPA,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.053439,22.520693
345,泰熙·泰式SPA,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.053247,22.520784
346,和里合SPA按摩中心(石厦店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.052277,22.520529
347,月畔湾桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.05016,22.522647
348,华耳匠采耳养生馆(石厦新天商务中心店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.052745,22.520961
349,金足足浴,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.048815,22.523916
350,东方棕泉国际会所(金田路店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.064852,22.518347
351,月亮湾休闲会所(兴业路),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.090854,22.725624
352,鑫湖湾,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.090894,22.725869
353,月亮湖会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.086253,22.723239
354,澜泉一六八,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.078176,22.685679
355,老苗医10元泡脚,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙华区,114.077633,22.685779
356,鑫云谷休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.089017,22.638297
357,瑶厢阁康足坊沐足(上雪店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.08947,22.639749
358,御品湾休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.090887,22.637626
359,康乾健康管理理疗,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.102576,22.604572
360,石龙坑北一巷保健养生馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.102921,22.609123
361,康丽来盲人推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.102663,22.610788
362,余氏传统推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.100862,22.612929
363,纤纤手休闲会所,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.107016,22.605912
364,一笑堂中医推拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.107431,22.607653
365,竹雅轩足疗养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.105908,22.608924
366,金池休闲会所(八约一街),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.109476,22.607103
367,四海中医推拿足道养生堂,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,龙岗区,114.107904,22.607586
368,熙龙阁桑拿,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.097214,22.557281
369,御术集团(八卦岭店),生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.093953,22.561654
370,香泉会馆,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.098893,22.55918
371,水立方·汤泉生活,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.072649,22.516788
372,洗脚王脚部按摩中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.082732,22.532312
373,恒海足浴按摩中心,生活服务,洗浴推拿场所,洗浴推拿场所,广东省,深圳市,福田区,114.082778,22.532273
