,华姐理发店,生活服务,美容美发店,美容美发店.1,广东省,深圳市,宝安区,113.781431,22.726007
0,小不点发型设计,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.783646,22.7222
1,纤艺,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.811194,22.760107
2,名豪造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.811411,22.760792
3,100丽造型美容养身馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.810466,22.759416
4,艾尚经络养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.809094,22.721611
5,相约佳人美容院,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.807342,22.685072
6,皇潮造型(平福路),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.847559,22.799452
7,雨田时尚(天虹商场),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.851701,22.764058
8,快剪吧,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.852525,22.762222
9,贵夫人美容,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.850834,22.762411
10,健之缘保健中心,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.847856,22.763134
11,瘦身美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.851911,22.762441
12,发匠精致染烫造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.843665,22.718962
13,深圳市创美纺织有限公司,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.849821,22.720706
14,尚域,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.849783,22.721998
15,时韵发专业烫染拉,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.849745,22.721287
16,新艺美业,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.848332,22.72445
17,亮彩造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.842277,22.682189
18,金皇后,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.852358,22.602629
19,伊蔓美容养生SPA,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.852403,22.602648
20,红太阳美发(兴业路店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.860754,22.564009
21,奈欧美甲美睫沙龙(西乡店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.857103,22.570247
22,涵美之尚纤体工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854967,22.566966
23,克丽缇娜(佳靓店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854554,22.569064
24,金木浴疗,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.870001,22.513744
25,美颜国际美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.866158,22.541658
26,川嵃·美容养生SPA,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.851257,22.56928
27,曼姿美甲美睫,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856156,22.567646
28,范斯哲护肤造型品牌店,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856131,22.567771
29,贝克造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.855744,22.567765
30,匠人工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859638,22.562105
31,梵赛皇家经典养生,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854583,22.568227
32,发谱造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.858518,22.560226
33,蕊·日式美甲美睫沙龙,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856895,22.568203
34,奈瑞儿(西乡店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856356,22.569509
35,竼赛美容院,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854574,22.568285
36,苏琪护肤造型(富通城店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854926,22.568651
37,GiGi'Studio,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856931,22.567173
38,丝域养发馆(富通城店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854015,22.569578
39,臻羽蝶乌发生发,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859601,22.562072
40,亮贝丝养生养发馆(富通城店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.855405,22.567805
41,聚缘茶麸养发馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.860059,22.564442
42,天使之彩美甲店,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.85705,22.570254
43,OUFEQAN欧妃泉,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856431,22.569139
44,罗蜜雅伦(七巧国直营店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856204,22.569332
45,碧斯美容美体养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.858107,22.56847
46,伊梵世家美容养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.860473,22.564304
47,西米优瘦身(碧海店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.857695,22.568776
48,红云理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859607,22.565974
49,简艺(悦和路),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.857214,22.569625
50,韵味养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859682,22.564608
51,韩格美发工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859968,22.56617
52,百莲凯科技美容养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.854662,22.568951
53,好青丝养发(绿海名居店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859853,22.56273
54,智丽佳人袪斑(宝中总代),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.860311,22.564444
55,N次芳,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.856009,22.567854
56,VNS威妮丝,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859885,22.564788
57,享瘦专业养生减肥馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.859969,22.564704
58,女王派对美甲美睫纹绣丽人形象店,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.857339,22.567724
59,金芙蓉美得康养生会所,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.851286,22.57032
60,名师艺剪,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.891306,22.801811
61,新时代烫染直发店,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.889803,22.801163
62,臻美美容养生,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.891269,22.800403
63,发源地美发造型,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.890449,22.800644
64,一顶红烫染工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.889796,22.80143
65,天姿美发,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.889709,22.800656
66,DK发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.889586,22.800369
67,噢灵美容美甲,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.891331,22.765245
68,木兰香美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.894063,22.762714
69,紫妍美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.890566,22.764939
70,娜美发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.894931,22.762053
71,卡艺造型,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.895113,22.761569
72,天丽美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.895694,22.761297
73,专业祛斑祛痘中心,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.891017,22.765206
74,噢灵工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.891342,22.765248
75,丽雅阁,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.891408,22.76527
76,风采精剪烫染,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.895317,22.761255
77,安然养生,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.89251,22.66977
78,魅影造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.898181,22.672482
79,米勒造型女子烫染,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.898308,22.672501
80,艺尚造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.899846,22.674054
81,润妍美容,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.894296,22.669874
82,肌肤之光皮肤管理中心,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.893521,22.669454
83,秀媛生活馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.893627,22.669451
84,东洋造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.899937,22.67189
85,千姿百态形象工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.890973,22.668507
86,真我风采,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.888434,22.665863
87,剪剪旺,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.891421,22.667845
88,瑞倪维儿美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.894297,22.669851
89,雨佳祛斑美容,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.891492,22.668328
90,签约祛痘,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.891143,22.668266
91,熙爱健康美肤中心,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.891248,22.668496
92,聚坊造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.891027,22.667956
93,玫琳凯美丽课堂,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.889743,22.665993
94,素颜美容养颜馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.891219,22.667693
95,四顺发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.890131,22.667556
96,千语千寻,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887867,22.598613
97,魔发秀,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.885656,22.60113
98,98视觉形象设计,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887867,22.601351
99,东方丽人,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.888155,22.600614
100,叶子工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.888364,22.600935
101,养生阁理疗馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.888229,22.60124
102,时尚有约专业烫染,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887672,22.601025
103,首show(铁岗店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887606,22.600565
104,艺新造型,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887805,22.600353
105,媄颜坊美容美体护肤中心,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.88747,22.600874
106,思妍美容美甲纹绣,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.8876,22.600452
107,发匠美业,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887868,22.600346
108,剪神美发,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.887383,22.600026
109,星尚专业烫染,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.886361,22.601395
110,欣尚渼美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.893546,22.560405
111,完美发型设计,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.889045,22.55785
112,雪姿美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.890298,22.56222
113,诗碧曼,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.89022,22.562291
114,发随心动,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.911278,22.514175
115,亲恩产后恢复,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.88686,22.512261
116,发家丝情髪艺,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.891218,22.479725
117,q发屋(赤湾人人乐店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.888039,22.478737
118,面子智能美肤,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.888442,22.478905
119,养怡坊,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.942433,22.801703
120,贵丽丝理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.941698,22.804381
121,黄记理发,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.941939,22.80353
122,丰顺发室,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.942144,22.803158
123,你好漂亮,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.941983,22.802777
124,发艺轩,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.943106,22.802239
125,老袁美发,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.938446,22.765053
126,MK素颜美肌旗舰店,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.924582,22.764351
127,名艺养生,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.936547,22.677449
128,爱情故事,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.931708,22.681477
129,TV主题沙龙,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.931805,22.679664
130,柏康美汗蒸美容会所,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.92977,22.682434
131,康丽汗蒸美容养生馆(石岩店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.928812,22.644118
132,艾琪艺专业烫染店,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.928555,22.643408
133,秀美丽美容养生店,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.928494,22.641601
134,美容养生坊,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.929779,22.644151
135,小小美发工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.928619,22.643049
136,康丽百年经络养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.928721,22.644299
137,卡丝(应人石店),生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.927449,22.643383
138,么尚国际,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.92951,22.644298
139,深圳美丽田园园艺有限公司,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.937109,22.597884
140,深圳市百森梵健康管理中心,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.938874,22.597174
141,新时代,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.927814,22.586057
142,名艺烫染连锁,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.927847,22.614667
143,蓓俪芙养森,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.926999,22.564868
144,大众美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.925489,22.565338
145,芳子美容(鸿瑞花园店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.927021,22.520862
146,美丽湾,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.920872,22.511311
147,百丽雅三养美容(鸿瑞店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.926994,22.520548
148,你型我塑发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.927085,22.522798
149,慕颜堂健康美容会所,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.931945,22.523242
150,沐铭居美容美体养生会馆,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.931832,22.520227
151,大众理发店,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.93077,22.485665
152,富苑名,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.93025,22.479656
153,友爱美容店,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.964214,22.805022
154,尚逸造型,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.963979,22.805317
155,雅姿美发,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.958995,22.790392
156,沙宣造型,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.981478,22.725756
157,MK形象设计中心,生活服务,美容美发店,美容美发店,广东省,深圳市,光明区,113.957522,22.723183
158,艺剪吧,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.965659,22.70872
159,尚纤艺美业,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.965545,22.707856
160,形象设计,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.965113,22.684317
161,唯美美发,生活服务,美容美发店,美容美发店,广东省,深圳市,宝安区,113.965078,22.68422
162,木木美妆工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970437,22.629179
163,出发点美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.971581,22.628473
164,丽莎造型,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970884,22.629771
165,亚太名媛,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970883,22.628963
166,回首发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973059,22.623467
167,大众发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.951686,22.635072
168,卡恩造型,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.980601,22.623194
169,亿甲坊·生活馆,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.98053,22.623143
170,艾丽素美容养生馆,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973576,22.622783
171,时尚芭莎造型,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.966085,22.593333
172,奥榄纯抗衰老皮肤管理中心,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.966256,22.593364
173,克丽缇娜(西丽店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.964601,22.593071
174,面子智能美肤,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.964726,22.593261
175,欧雅·造型,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973879,22.560524
176,南山本田美容中心,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973096,22.561611
177,雨佳美妆,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.974215,22.560448
178,艺珍发艺,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973845,22.559853
179,唯造型美容美发店,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973619,22.560547
180,唯一美容美发,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.973614,22.560355
181,黑眼圈造型工作室(红树湾总店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.966927,22.521986
182,柏芙轩,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.975082,22.52543
183,聚美缘,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.965813,22.522218
184,我的美容健康管理连锁机构(生态店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.982436,22.536921
185,首脑(京基百纳店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969554,22.530872
186,雅子日系手工专属发型工作室,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.952347,22.48827
187,秀域科技健康(京基店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969918,22.532196
188,领秀人生美发会所,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.968829,22.530935
189,艾功馆·艾灸养生,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969573,22.532084
190,美丽田园(南山京基百纳广场店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970204,22.530397
191,领袖发廊,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969316,22.530687
192,绝色美甲(京基百纳店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.968315,22.531654
193,皇家仙香(京基百纳广场店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.970227,22.530454
194,美之堂美颜养生,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969902,22.532197
195,缔豪美业连锁,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.9691,22.532101
196,MINI专业美发(沙河天虹店),生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.969128,22.530648
197,发间专业烫染,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.96957,22.532228
198,首美美发店,生活服务,美容美发店,美容美发店,广东省,深圳市,南山区,113.968821,22.531626
199,阿勇美发店,生活服务,美容美发店,美容美发店,广东省,深圳市,龙华区,114.017219,22.749263
