,百世快递(沙井分部),生活服务,物流速递,物流速递.1,广东省,深圳市,宝安区,113.782577,22.722213
457,圆通速递,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.899171,22.719957
458,菜鸟驿站九巷12号店,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.899295,22.720325
459,顺丰速运授权代办点,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.899484,22.719862
460,菜鸟驿站(好旺家店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.89133,22.71371
461,风信物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.890285,22.683135
462,大华集运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.890348,22.683237
463,深圳市先达物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.895174,22.674534
464,国友物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.895986,22.673856
465,深圳市陆顺物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.896039,22.673871
466,深圳市金秒物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.895883,22.674371
467,深圳市悦源物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.896917,22.673843
468,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.900823,22.674553
469,恒胜亿物流园,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.896079,22.673235
470,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.891664,22.669369
471,深圳市唐招物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.900605,22.675211
472,跨越速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.888199,22.671191
473,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.897495,22.672589
474,东方快运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.896176,22.671343
475,快递超市,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.893208,22.670536
476,百世驿站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.894024,22.670401
477,平乐物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.899119,22.672155
478,深圳市亚洲顺物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.895919,22.673868
479,百世驿站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.893746,22.67002
480,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.899645,22.67202
481,菜鸟驿站(深圳石岩麻布新村五巷八号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.89949,22.67425
482,深圳市盛华宏物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.888896,22.669546
483,韵达物流(深圳石岩料坑分部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.895919,22.670751
484,菜鸟驿站(深圳石岩麻布新村七巷12号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.900787,22.674561
485,盛丰物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.900819,22.669692
486,壹米滴答,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.90002,22.671902
487,百腾物流(深圳转运场),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.901313,22.668369
488,运达物流AIYO,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.907291,22.653272
489,运达物流仓,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.907703,22.653696
490,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.910433,22.65257
491,运达锦顺(深圳)物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.910863,22.654578
492,菜鸟驿站(深圳塘头第三工业区518号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.91107,22.65304
493,宝安区石岩街道办事处塘头社区24小时自助服务区,生活服务,电讯营业厅,电讯营业厅,广东省,深圳市,宝安区,113.90858,22.654795
494,原飞航物流宝安分公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.888085,22.664351
495,皇丰物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.879536,22.66788
496,中柱冷链(宝安)RDC,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.887883,22.667775
497,深圳市华秀物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.879714,22.667003
498,恒聚物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.89291,22.662449
499,壹米滴答深圳九围营业部,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.897739,22.666929
500,宝运达物流中心,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.884925,22.592393
501,顺丰速运(铁岗东二巷),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.888877,22.601029
502,铁岗中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.888042,22.600593
503,山鹰物流(宝田一路),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.889085,22.599018
504,深圳市富裕创跃物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.888335,22.600824
505,58速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.886091,22.599543
506,金鹏物流(宝运达物流信息大厦东南),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.884567,22.593663
507,菜鸟驿站(深圳西乡铁岗村55栋店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.886894,22.600937
508,中通快递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.886471,22.598966
509,深圳市安信达货物运输有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.88622,22.604162
510,燕文物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.884271,22.598013
511,菜鸟驿站(深圳西乡铁岗村南三巷9号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.885733,22.600048
512,中国移动(垦讯达特约代理点),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.892878,22.562861
513,中国移动(丽晶国际营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.889949,22.556323
514,中国电信(宝安46区怡华新村授权厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.892144,22.560694
515,韵达快递超市,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.891915,22.560623
516,广东省邮政速递物流有限公司,生活服务,邮局,邮政速递,广东省,深圳市,宝安区,113.890498,22.562394
517,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.892842,22.560778
518,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.892231,22.560148
519,中国移动(翻身服营厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.886563,22.567704
520,顺丰(风临洲店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.889344,22.55949
521,中国电信(川安路店),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.888651,22.56384
522,海滨广场邮政所,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.890659,22.562481
523,中国电信(48区海华公园),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.888633,22.563828
524,中国电信(前海自贸区营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.901811,22.51748
525,中国联通(南山前海自贸营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,南山区,113.9013,22.517153
526,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.899127,22.529936
527,中国电信(前海湾花园服务厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.886459,22.510491
528,京东快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.886433,22.510488
529,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.886414,22.509111
530,中国邮政速递物流,生活服务,邮局,邮政速递,广东省,深圳市,南山区,113.907002,22.51598
531,鼎太风华邮政所,生活服务,邮局,邮局,广东省,深圳市,南山区,113.907012,22.515997
532,中国电信(前海龙海家园营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.905691,22.532855
533,中国电信诺德服务厅,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.904832,22.510179
534,中国电信,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.890156,22.479944
535,赤湾邮政代办所,生活服务,邮局,邮局,广东省,深圳市,南山区,113.88877,22.478479
536,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.887909,22.478912
537,益海嘉里配送中心,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.889759,22.477708
538,前海湾物流园,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.884892,22.496637
539,中通快递深圳月亮湾公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.893645,22.489379
540,申通快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.894159,22.487387
541,顺丰快运赤湾营业部,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.896723,22.477663
542,深圳市浩源骏物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.885831,22.479059
543,宝湾物流控股有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.895855,22.47871
544,京东物流(深圳招商快运集配站),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.895218,22.477117
545,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.892342,22.487711
546,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.884071,22.478608
547,赤湾东方恒温仓,生活服务,物流速递,物流仓储场地,广东省,深圳市,南山区,113.889626,22.477487
548,招商局物流(深圳一湾分发中心),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.895263,22.464252
549,月亮湾快递点,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.889213,22.491414
550,丰巢智能柜,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.935362,22.808219
551,信丰物流光明分公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939167,22.798257
552,深圳公明苏通快运,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939592,22.798553
553,百世快运,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.940116,22.798892
554,德邦快递,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.936244,22.794379
555,韵达快运,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.935957,22.79419
556,钧鹏物流,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.937447,22.808356
557,深圳市明浩通国际货运代理有限公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.934574,22.79483
558,盛辉物流,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939321,22.798372
559,深圳市德信安物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.936175,22.793967
560,美林华邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,光明区,113.943459,22.799549
561,菜鸟驿站(深圳光明新陂头村324号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.94281,22.802119
562,妈妈驿站邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,光明区,113.943937,22.8033
563,深圳市全通速达物流有限责任公司(公明营业部),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939624,22.798641
564,中国电信楼村店,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.929219,22.785834
565,妈妈驿站,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.944078,22.80341
566,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.944149,22.803288
567,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.944314,22.799016
568,优速快递,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.940558,22.792458
569,中国电信(圳美营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.945639,22.790031
570,菜鸟驿站(深圳光明新陂头南33栋店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.9437,22.79998
571,e栈(碧园路),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.944365,22.75654
572,中国邮政(光明支局),生活服务,邮局,邮局,广东省,深圳市,光明区,113.942974,22.763829
573,菜鸟驿站(深圳公明东明公寓1栋6号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.929863,22.765126
574,中国联通光明自有营业厅,生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,光明区,113.945861,22.758808
575,安能物流(高新路),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.925241,22.762751
576,中国电信(光明营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.945556,22.759201
577,中通快递深圳光明分公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.936924,22.764398
578,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,光明区,113.922772,22.763244
579,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.93866,22.758831
580,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.924563,22.76497
581,菜鸟驿站(深圳光明木墩新村35号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.926113,22.764003
582,迈腾物流,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.937995,22.769304
583,菜鸟驿站(深圳公明木墩旧村19号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.92286,22.76247
584,中国移动(光明营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,光明区,113.942912,22.753589
585,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,光明区,113.944243,22.763193
586,菜鸟驿站(深圳光明木墩旧村14栋1号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.92285,22.76311
587,安能,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.926522,22.719684
588,安能(长圳路),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.924118,22.717057
589,深圳市鑫中益物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.924944,22.7173
590,长兴代办所,生活服务,邮局,邮局,广东省,深圳市,光明区,113.922859,22.718035
591,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939825,22.724708
592,腾讯王卡驿站,生活服务,电讯营业厅,电讯营业厅,广东省,深圳市,光明区,113.923261,22.719377
593,顺丰快递(深圳光明新区长圳村营业部),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.923793,22.718617
594,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.937657,22.73081
595,红坳邮政代办所,生活服务,邮局,邮局,广东省,深圳市,光明区,113.922366,22.716154
596,深圳市冠丰源物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.933419,22.730264
597,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.918203,22.718158
598,中国电信(塘家专营店),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.937509,22.7341
599,深圳佳义物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.920952,22.716499
600,菜鸟驿站(深圳长兴科技园17栋116号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.922872,22.719527
601,菜鸟驿站(唐家南路松园大厦),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.941124,22.724866
602,NAo菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.938007,22.730867
603,天天快递(宝安光明分部),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.94045,22.729667
604,中通快递(塘家营业部),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939901,22.729521
605,快宝驿站(塘家新村店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939273,22.730174
606,菜鸟驿站(深圳长兴科技园17栋117号店),生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.92243,22.71925
607,安能快递,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.920226,22.716303
608,光明塘家村综合服务中心,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.939855,22.729376
609,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.92965,22.733223
610,中国电信(塘家村服务厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,光明区,113.93874,22.729468
611,菜鸟驿站,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.940638,22.729828
612,中通快递,生活服务,物流速递,物流速递,广东省,深圳市,光明区,113.917172,22.718595
613,中国移动(石岩沟通100营业厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.93122,22.682589
614,中国联通(石岩宝石南路营业厅),生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,宝安区,113.930767,22.677313
615,老街邮政代办所,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.931328,22.681619
616,中国电信(石岩营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.939939,22.679882
617,天天国际物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.931184,22.682018
618,深圳大大速递有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.931013,22.682061
619,韵达包裹超市,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.929478,22.682458
620,韵达速递,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.933471,22.6826
621,百世物流,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.933363,22.682925
622,中国移动,生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,宝安区,113.934389,22.680247
623,宏源石岩物流园,生活服务,物流速递,物流仓储场地,广东省,深圳市,宝安区,113.918925,22.670556
624,菜鸟驿站(深圳石岩老街一区15号店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.931437,22.680636
625,顺丰速运(湖景苑南),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.930278,22.6786
626,德邦物流(天宝路营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.930764,22.637895
627,中国联通,生活服务,电讯营业厅,中国联通营业厅,广东省,深圳市,宝安区,113.92855,22.643038
628,妈妈驿站,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.929107,22.644085
629,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.928436,22.643041
630,通鸿荣邮政便民服务点,生活服务,邮局,邮局,广东省,深圳市,宝安区,113.928217,22.64524
631,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.92741,22.640341
632,德邦(塘头大道营业部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.917055,22.654497
633,百腾物流(总部),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.933472,22.636257
634,百世快递(应人石店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.927936,22.644543
635,韵达快递(西丽大勘分部),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.927878,22.644224
636,顺丰速运(应人石新村站点),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.928443,22.644713
637,深圳市优正国际物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.928356,22.638931
638,菜鸟驿站(应人石新村店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.92845,22.64444
639,中国电信光纤宽带报装,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.925559,22.645698
640,菜鸟驿站(深圳石岩石景花园25栋店),生活服务,物流速递,物流速递,广东省,深圳市,宝安区,113.92725,22.6432
641,中国电信(创新谷营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.923419,22.641754
642,深圳神影物流有限公司西丽基地,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.93405,22.600466
643,速尔物流,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.937429,22.608355
644,中柱冷库,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.937594,22.589239
645,顺丰速运,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.928963,22.614499
646,中柱冷链,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.937325,22.589484
647,中国电信(牛城村店),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.928779,22.614768
648,深圳市中柱物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.937521,22.589332
649,菜鸟驿站(深圳南山壮大工业区1012号店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.93347,22.58961
650,欣发通信,生活服务,电讯营业厅,电讯营业厅,广东省,深圳市,南山区,113.92856,22.616299
651,菜鸟驿站(深圳南山牛成村85栋一楼店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.928234,22.614202
652,深圳韵达速递有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.930416,22.585087
653,德坤物流(南山西丽营业部),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.931489,22.616239
654,菜鸟驿站(深圳牛成工业区207号店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.929681,22.615087
655,顺丰速运(旺棠分部),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.948051,22.587346
656,丰巢快递柜,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.926669,22.587578
657,中国电信,生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,宝安区,113.921582,22.584882
658,圆通速递业务代理点,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.930363,22.584992
659,广东怀远物流实业有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.936829,22.56425
660,一本物流,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.949023,22.56776
661,路擎二手车服务,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.934739,22.560449
662,中国移动(科技园服务厅),生活服务,电讯营业厅,中国移动营业厅,广东省,深圳市,南山区,113.944709,22.548969
663,神彩·彩联物流中心,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.929384,22.553991
664,高新邮政支局,生活服务,邮局,邮局,广东省,深圳市,南山区,113.943631,22.543367
665,中铁物流集团有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.932297,22.549427
666,顺丰速运(深圳南山朗山路营业部),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.935776,22.558778
667,互联易电商物流园,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.938615,22.557531
668,深圳市方跃物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.925018,22.55901
669,宏达货运,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.922951,22.558882
670,菜鸟驿站(深圳建工村13栋127号店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.924595,22.563007
671,菜鸟驿站(深圳南山建工村37号长兴旺店),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.9257,22.56441
672,优速快递,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.940212,22.564731
673,深圳市鼎通国际货运代理,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.929776,22.553605
674,彩联物流中心,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.930007,22.552966
675,京东快递(深圳建功营业部),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.93044,22.553819
676,深圳川越物流有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.939876,22.56634
677,明辉物流,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.941747,22.563226
678,信丰物流(深圳科技园分公司),生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.929876,22.55166
679,安能物流,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.942467,22.563495
680,中国电信(高新区营业厅),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.945227,22.541859
681,大为配送,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.922218,22.557053
682,中国电信(豪方天际办理点),生活服务,电讯营业厅,中国电信营业厅,广东省,深圳市,南山区,113.921289,22.555642
683,深圳华溢仓储运输有限公司,生活服务,物流速递,物流速递,广东省,深圳市,南山区,113.942032,22.563414
